episode_hash,split,manifest_task,relative_path,span_index,start_idx,end_idx,duration_sec,text_normalized
696b19a2f8e8293f615f75e9,train,cleaning_sachets,full/human/mecka/33/696b19a2f8e8293f615f75e9.zarr,5,2343,2983,21.333,"wipe red sachets with cloth, place cloth on table, flip sachets, pick up cloth"
696b4af2f20f919514c6f145,train,knitting,full/human/mecka/af/696b4af2f20f919514c6f145.zarr,0,0,300,10.0,"crochet a yarn with needle, pull fabric tension"
696b4af2f20f919514c6f145,train,knitting,full/human/mecka/af/696b4af2f20f919514c6f145.zarr,1,300,570,9.0,"crochet a yarn with needle, pull fabric tension"
696b4af2f20f919514c6f145,train,knitting,full/human/mecka/af/696b4af2f20f919514c6f145.zarr,2,570,860,9.667,"crochet a yarn with needle, pull fabric tension"
696b4af2f20f919514c6f145,train,knitting,full/human/mecka/af/696b4af2f20f919514c6f145.zarr,3,860,1440,19.333,"crochet a yarn with needle, pull fabric tension"
696b4af2f20f919514c6f145,train,knitting,full/human/mecka/af/696b4af2f20f919514c6f145.zarr,4,1440,1800,12.0,crochet a yarn with needle
696b4af2f20f919514c6f145,train,knitting,full/human/mecka/af/696b4af2f20f919514c6f145.zarr,5,1800,2090,9.667,crochet a yarn with needle
696b4af2f20f919514c6f145,train,knitting,full/human/mecka/af/696b4af2f20f919514c6f145.zarr,6,2090,2490,13.333,"loop yarn, crochet a yarn with needle"
696b4af2f20f919514c6f145,train,knitting,full/human/mecka/af/696b4af2f20f919514c6f145.zarr,7,2490,2790,10.0,"crochet a yarn with needle, pull fabric tension"
696b4af2f20f919514c6f145,train,knitting,full/human/mecka/af/696b4af2f20f919514c6f145.zarr,8,2790,2986,6.533,crochet a yarn with needle
696b59621376c8db5e314fb9,train,assembling_signs,full/human/mecka/99/696b59621376c8db5e314fb9.zarr,0,0,93,3.1,"apply glue to green object, place glue bottle on table"
696b59621376c8db5e314fb9,train,assembling_signs,full/human/mecka/99/696b59621376c8db5e314fb9.zarr,1,93,603,17.0,press white strip onto green object
696b59621376c8db5e314fb9,train,assembling_signs,full/human/mecka/99/696b59621376c8db5e314fb9.zarr,2,603,756,5.1,"apply glue to green object, place glue bottle on table"
696b59621376c8db5e314fb9,train,assembling_signs,full/human/mecka/99/696b59621376c8db5e314fb9.zarr,3,756,1466,23.667,press white strip onto green object
696b59621376c8db5e314fb9,train,assembling_signs,full/human/mecka/99/696b59621376c8db5e314fb9.zarr,4,1466,1623,5.233,"apply glue to green object, place glue bottle on table"
696b59621376c8db5e314fb9,train,assembling_signs,full/human/mecka/99/696b59621376c8db5e314fb9.zarr,5,1623,1970,11.567,press white strip onto green object
696b59621376c8db5e314fb9,train,assembling_signs,full/human/mecka/99/696b59621376c8db5e314fb9.zarr,6,1970,2118,4.933,"apply glue to green object, place glue bottle on table"
696b59621376c8db5e314fb9,train,assembling_signs,full/human/mecka/99/696b59621376c8db5e314fb9.zarr,7,2118,2983,28.833,press white strip onto green object
696b80331e187f32c5eb5895,train,trimming_threads,full/human/mecka/f6/696b80331e187f32c5eb5895.zarr,0,0,1650,55.0,trim fastener with scissors
696b80331e187f32c5eb5895,train,trimming_threads,full/human/mecka/f6/696b80331e187f32c5eb5895.zarr,1,1650,1749,3.3,strighnten pouch
696b80331e187f32c5eb5895,train,trimming_threads,full/human/mecka/f6/696b80331e187f32c5eb5895.zarr,2,1749,1890,4.7,close pouch
696b80331e187f32c5eb5895,train,trimming_threads,full/human/mecka/f6/696b80331e187f32c5eb5895.zarr,3,1890,1970,2.667,pick up plastic bag
696b80331e187f32c5eb5895,train,trimming_threads,full/human/mecka/f6/696b80331e187f32c5eb5895.zarr,4,1970,2180,7.0,open and close plastic bag
696b80331e187f32c5eb5895,train,trimming_threads,full/human/mecka/f6/696b80331e187f32c5eb5895.zarr,5,2180,2310,4.333,pick up packaged pouch from table
696b80331e187f32c5eb5895,train,trimming_threads,full/human/mecka/f6/696b80331e187f32c5eb5895.zarr,6,2310,2700,13.0,secure paper wrap to pouch
696b80331e187f32c5eb5895,train,trimming_threads,full/human/mecka/f6/696b80331e187f32c5eb5895.zarr,7,2700,2968,8.933,insert pouch into plastic sleeve
696b831a93818b7b258ebed1,train,sorting_tackle,full/human/mecka/a8/696b831a93818b7b258ebed1.zarr,0,0,1204,40.133,transfer air gun pellets from hand to container
696b831a93818b7b258ebed1,train,sorting_tackle,full/human/mecka/a8/696b831a93818b7b258ebed1.zarr,1,1204,2409,40.167,transfer air gun pellets from hand to container
696b831a93818b7b258ebed1,train,sorting_tackle,full/human/mecka/a8/696b831a93818b7b258ebed1.zarr,2,2409,2754,11.5,picks up air gun pellets from tray into hand
696b831a93818b7b258ebed1,train,sorting_tackle,full/human/mecka/a8/696b831a93818b7b258ebed1.zarr,3,2754,2973,7.3,"transfer air gun pellet from hand to container, pick up air gun pellet from container to container"
696b831a93818b7b258ebed1,train,sorting_tackle,full/human/mecka/a8/696b831a93818b7b258ebed1.zarr,4,2973,3586,20.433,transfer air gun pellets from hand to container
696b838ad3cc9dc76c561443,train,organizing_items,full/human/mecka/34/696b838ad3cc9dc76c561443.zarr,0,0,73,2.433,"place stack of cloths on table, pick up cloth from stack"
696b838ad3cc9dc76c561443,train,organizing_items,full/human/mecka/34/696b838ad3cc9dc76c561443.zarr,1,73,173,3.333,unfold cloth and place on table
696b838ad3cc9dc76c561443,train,organizing_items,full/human/mecka/34/696b838ad3cc9dc76c561443.zarr,2,173,325,5.067,"adjust cloth on table, pick up cloth from stack and unfold"
696b838ad3cc9dc76c561443,train,organizing_items,full/human/mecka/34/696b838ad3cc9dc76c561443.zarr,3,325,597,9.067,"place cloth on table and unfold, smooth cloth"
696b838ad3cc9dc76c561443,train,organizing_items,full/human/mecka/34/696b838ad3cc9dc76c561443.zarr,4,597,1833,41.2,"pick up cloth from stack, unfold and place cloth on table, unfold and adjust cloth"
696b838ad3cc9dc76c561443,train,organizing_items,full/human/mecka/34/696b838ad3cc9dc76c561443.zarr,5,1833,2314,16.033,"pick up cloth from stack, unfold and place cloth on table, unfold and adjust cloth"
696b9ee479bc0402722c2216,train,packaging_combs,full/human/mecka/fe/696b9ee479bc0402722c2216.zarr,0,0,357,11.9,"insert yellow comb into plastic bag, place bag on table"
696b9ee479bc0402722c2216,train,packaging_combs,full/human/mecka/fe/696b9ee479bc0402722c2216.zarr,1,357,1680,44.1,"pick up yellow comb, pick up plastic bag from stack, insert comb into plastic bag, place bag on table"
696b9ee479bc0402722c2216,train,packaging_combs,full/human/mecka/fe/696b9ee479bc0402722c2216.zarr,2,1680,2298,20.6,"pick up red comb, pick up plastic bag from stack, pack comb into plastic bag, place comb on table"
696b9ee479bc0402722c2216,train,packaging_combs,full/human/mecka/fe/696b9ee479bc0402722c2216.zarr,3,2298,2683,12.833,"pick up plastic bag, pick up yellow comb, place comb into plastic bag, place comb on table"
696ba1a51e187f32c5eb59f7,train,adding_soil_to_bags,full/human/mecka/4c/696ba1a51e187f32c5eb59f7.zarr,0,0,276,9.2,pick and fill plastic bag with soil
696ba1a51e187f32c5eb59f7,train,adding_soil_to_bags,full/human/mecka/4c/696ba1a51e187f32c5eb59f7.zarr,1,276,909,21.1,"fill plastic bag with soil, adjust soil in plastic bag"
696ba1a51e187f32c5eb59f7,train,adding_soil_to_bags,full/human/mecka/4c/696ba1a51e187f32c5eb59f7.zarr,2,909,1155,8.2,"pick up soil, smooth soil, put soil in plastic bag"
696ba1a51e187f32c5eb59f7,train,adding_soil_to_bags,full/human/mecka/4c/696ba1a51e187f32c5eb59f7.zarr,3,1155,1899,24.8,fill plastic bag with soil
696ba1a51e187f32c5eb59f7,train,adding_soil_to_bags,full/human/mecka/4c/696ba1a51e187f32c5eb59f7.zarr,4,1899,2142,8.1,compact soil in plastic bag
696ba1a51e187f32c5eb59f7,train,adding_soil_to_bags,full/human/mecka/4c/696ba1a51e187f32c5eb59f7.zarr,5,2142,2451,10.3,"adjust plastic bag, pick up soil, smooth soil"
696ba1a51e187f32c5eb59f7,train,adding_soil_to_bags,full/human/mecka/4c/696ba1a51e187f32c5eb59f7.zarr,6,2451,2836,12.833,"fill bag with soil, adjust plastic bag"
696ba85976b41c2326097fa5,train,portioning_powder,full/human/mecka/3a/696ba85976b41c2326097fa5.zarr,0,0,189,6.3,scoop powder into plastic bag using large spoon
696ba85976b41c2326097fa5,train,portioning_powder,full/human/mecka/3a/696ba85976b41c2326097fa5.zarr,1,189,380,6.367,"hold large spoon and plastic bag, place down large spoon, grab small spoon"
696ba85976b41c2326097fa5,train,portioning_powder,full/human/mecka/3a/696ba85976b41c2326097fa5.zarr,2,380,879,16.633,"adjust spoon, scoop powder into plastic bag using small spoon"
696ba85976b41c2326097fa5,train,portioning_powder,full/human/mecka/3a/696ba85976b41c2326097fa5.zarr,3,879,930,1.7,adjust powder with small spoon
696ba85976b41c2326097fa5,train,portioning_powder,full/human/mecka/3a/696ba85976b41c2326097fa5.zarr,4,930,1921,33.033,scoop powder into plastic bag using small spoon
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,0,0,1086,36.2,"pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,1,1086,1187,3.367,"adjust rubber nylon, pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,2,1187,1302,3.833,"adjust rubber nylon, pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,3,1302,1410,3.6,"pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,4,1410,1512,3.4,"pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,5,1512,1590,2.6,"pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,6,1590,1692,3.4,"pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,7,1692,2403,23.7,"adjust rubber nylon, pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,8,2403,2450,1.567,"adjust rubber nylon, pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,9,2450,2568,3.933,"adjust rubber nylon, pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,10,2568,2622,1.8,adjust rubber nylon
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,11,2622,2712,3.0,"pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,12,2712,2820,3.6,"pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,13,2820,2910,3.0,"pick nails from box, place nails in rubber nylon"
696bb012a5b1694665c19712,train,packaging_nails,full/human/mecka/ea/696bb012a5b1694665c19712.zarr,14,2910,2983,2.433,pick nails from box
696bb301f79f22003e62032b,train,adding_soil_to_pots,full/human/mecka/cf/696bb301f79f22003e62032b.zarr,0,0,879,29.3,"hold pot, scoop soil with trowel, pour soil into pot"
696bb301f79f22003e62032b,train,adding_soil_to_pots,full/human/mecka/cf/696bb301f79f22003e62032b.zarr,1,879,1310,14.367,"scoop soil with trowel, pour soil into pot, place trowel on soil, compact soil in pot"
696bb301f79f22003e62032b,train,adding_soil_to_pots,full/human/mecka/cf/696bb301f79f22003e62032b.zarr,2,1310,1698,12.933,"pick up plant, place plant into pot, compact soil in pot"
696bb301f79f22003e62032b,train,adding_soil_to_pots,full/human/mecka/cf/696bb301f79f22003e62032b.zarr,3,1698,1809,3.7,adjust pot handle
696bb301f79f22003e62032b,train,adding_soil_to_pots,full/human/mecka/cf/696bb301f79f22003e62032b.zarr,4,1809,2018,6.967,"hold pot, pick up trowel, pick up pot, gather soil with trowel, place trowel on soil, place pot on table"
696bb301f79f22003e62032b,train,adding_soil_to_pots,full/human/mecka/cf/696bb301f79f22003e62032b.zarr,5,2018,2079,2.033,pick up pot
696bb301f79f22003e62032b,train,adding_soil_to_pots,full/human/mecka/cf/696bb301f79f22003e62032b.zarr,6,2079,2980,30.033,"hold pot, pick up trowel, scoop soil with trowel, pour soil into pot"
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,0,0,126,4.2,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,1,126,222,3.2,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,2,222,258,1.2,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,3,258,408,5.0,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,4,408,549,4.7,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,5,549,729,6.0,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,6,729,789,2.0,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,7,789,846,1.9,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,8,846,915,2.3,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,9,915,990,2.5,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,11,1035,1080,1.5,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,12,1080,1230,5.0,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,13,1230,1299,2.3,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,15,1395,1560,5.5,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,16,1560,1680,4.0,adjust tool
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,17,1680,1815,4.5,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,18,1815,1875,2.0,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,19,1875,1995,4.0,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,20,1995,2040,1.5,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,21,2040,2115,2.5,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,22,2115,2160,1.5,adjust tool
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,23,2160,2214,1.8,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,24,2214,2280,2.2,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,25,2280,2430,5.0,adjust tool
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,26,2430,2490,2.0,adjust tool
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,27,2490,2565,2.5,adjust tool
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,28,2565,2625,2.0,adjust dough
696bb38792c84474ed1b5622,train,portioning_dough,full/human/mecka/3c/696bb38792c84474ed1b5622.zarr,29,2625,2680,1.833,adjust dough
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,0,0,129,4.3,adjust cloth on table
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,1,129,270,4.7,adjust shoelace on cloth
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,2,270,380,3.667,"pick up brush, shake brush"
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,3,380,669,9.633,scrub shoelace with brush
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,4,669,813,4.8,adjust shoelace
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,5,813,960,4.9,scrub shoelace with brush
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,6,960,1190,7.667,adjust shoelace
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,7,1190,1250,2.0,dip brush into liquid
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,8,1250,1509,8.633,scrub shoelace with brush
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,9,1509,1605,3.2,"adjust shoelace, scrub shoelace with brush"
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,10,1605,1698,3.1,dip brush into liquid
696bb8de4efa2e122be60246,train,cleaning_shoelaces,full/human/mecka/ce/696bb8de4efa2e122be60246.zarr,11,1698,2083,12.833,scrub shoelace with brush
696bba30316c07a505ec66f9,train,winding_wire,full/human/mecka/84/696bba30316c07a505ec66f9.zarr,0,0,1520,50.667,wind copper wire onto copper wire spool
696bba30316c07a505ec66f9,train,winding_wire,full/human/mecka/84/696bba30316c07a505ec66f9.zarr,1,1520,1629,3.633,adjust copper wire windings
696bba30316c07a505ec66f9,train,winding_wire,full/human/mecka/84/696bba30316c07a505ec66f9.zarr,2,1629,2980,45.033,wind copper wire onto copper wire spool
696bd3a80281c838642f1840,train,packaging_powder,full/human/mecka/6f/696bd3a80281c838642f1840.zarr,0,0,69,2.3,"scoop powder from bowl with spoon, pour plastic pouch with spoon of powder"
696bd3a80281c838642f1840,train,packaging_powder,full/human/mecka/6f/696bd3a80281c838642f1840.zarr,1,69,1632,52.1,"scrape powder with spoon in bowl, scoop powder with spoon, pour plastic pouch with spoon of powder"
696bd3a80281c838642f1840,train,packaging_powder,full/human/mecka/6f/696bd3a80281c838642f1840.zarr,2,1632,2103,15.7,"pick up bowl from table, scrape powder with spoon in bowl, place bowl on table"
696bd3a80281c838642f1840,train,packaging_powder,full/human/mecka/6f/696bd3a80281c838642f1840.zarr,3,2103,2516,13.767,"scoop powder with spoon, pour plastic pouch with spoon of powder"
696bd3a80281c838642f1840,train,packaging_powder,full/human/mecka/6f/696bd3a80281c838642f1840.zarr,4,2516,2600,2.8,"place spoon on bowl, seal plastic bag with fingers"
696bd3a80281c838642f1840,train,packaging_powder,full/human/mecka/6f/696bd3a80281c838642f1840.zarr,5,2600,2648,1.6,place plastic bag into container pile of plastic pouch
696bed30cca65ef14372042f,train,packaging_pet_food,full/human/mecka/cc/696bed30cca65ef14372042f.zarr,0,0,1350,45.0,scoop grain into plastic bag
696bed30cca65ef14372042f,train,packaging_pet_food,full/human/mecka/cc/696bed30cca65ef14372042f.zarr,1,1350,2683,44.433,scoop grain into plastic bag
696c61bc6902ce4cbbd7defe,train,washing_shoes,full/human/mecka/c0/696c61bc6902ce4cbbd7defe.zarr,0,0,189,6.3,scrub top of shoe with toothbrush
696c61bc6902ce4cbbd7defe,train,washing_shoes,full/human/mecka/c0/696c61bc6902ce4cbbd7defe.zarr,1,189,609,14.0,scrub side of shoe with toothbrush
696c61bc6902ce4cbbd7defe,train,washing_shoes,full/human/mecka/c0/696c61bc6902ce4cbbd7defe.zarr,2,609,909,10.0,"rotate shoe, scrub side of shoe with toothbrush"
696c61bc6902ce4cbbd7defe,train,washing_shoes,full/human/mecka/c0/696c61bc6902ce4cbbd7defe.zarr,3,909,1329,14.0,"scrub shoe with toothbrush, adjust shoe, scrub shoe with toothbrush"
696c61bc6902ce4cbbd7defe,train,washing_shoes,full/human/mecka/c0/696c61bc6902ce4cbbd7defe.zarr,4,1329,1640,10.367,scrub top of shoe with toothbrush
696c61bc6902ce4cbbd7defe,train,washing_shoes,full/human/mecka/c0/696c61bc6902ce4cbbd7defe.zarr,5,1640,2310,22.333,scrub shoe with toothbrush
696c61bc6902ce4cbbd7defe,train,washing_shoes,full/human/mecka/c0/696c61bc6902ce4cbbd7defe.zarr,6,2310,2986,22.533,"scrub shoe with toothbrush, rotate shoe, scrub shoe with toothbrush"
696d9f4ae0ac2bc918d467c1,train,packaging_souvenirs,full/human/mecka/5f/696d9f4ae0ac2bc918d467c1.zarr,0,0,305,10.167,"insert green comb into plastic bag, place green comb down"
696d9f4ae0ac2bc918d467c1,train,packaging_souvenirs,full/human/mecka/5f/696d9f4ae0ac2bc918d467c1.zarr,1,305,557,8.4,"pick up plastic bag, adjust plastic bag"
696d9f4ae0ac2bc918d467c1,train,packaging_souvenirs,full/human/mecka/5f/696d9f4ae0ac2bc918d467c1.zarr,2,557,809,8.4,"pick up green comb, insert green comb into plastic bag"
696d9f4ae0ac2bc918d467c1,train,packaging_souvenirs,full/human/mecka/5f/696d9f4ae0ac2bc918d467c1.zarr,3,809,975,5.533,"place green comb down, pick up plastic bag"
696d9f4ae0ac2bc918d467c1,train,packaging_souvenirs,full/human/mecka/5f/696d9f4ae0ac2bc918d467c1.zarr,4,975,1207,7.733,"adjust plastic bag, pick up blue comb"
696d9f4ae0ac2bc918d467c1,train,packaging_souvenirs,full/human/mecka/5f/696d9f4ae0ac2bc918d467c1.zarr,5,1207,1518,10.367,"insert blue comb into plastic bag, place blue comb down"
696d9f4ae0ac2bc918d467c1,train,packaging_souvenirs,full/human/mecka/5f/696d9f4ae0ac2bc918d467c1.zarr,6,1518,1866,11.6,"pick up plastic bag, adjust plastic bag"
696d9f4ae0ac2bc918d467c1,train,packaging_souvenirs,full/human/mecka/5f/696d9f4ae0ac2bc918d467c1.zarr,7,1866,2142,9.2,"pick up blue comb, insert blue comb into plastic bag"
696d9f4ae0ac2bc918d467c1,train,packaging_souvenirs,full/human/mecka/5f/696d9f4ae0ac2bc918d467c1.zarr,8,2142,2265,4.1,"place blue comb down, pick up plastic bag"
696d9f4ae0ac2bc918d467c1,train,packaging_souvenirs,full/human/mecka/5f/696d9f4ae0ac2bc918d467c1.zarr,9,2265,2686,14.033,"adjust plastic bag, pick up blue comb"
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,0,0,279,9.3,trim wooden piece with utility knife
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,1,279,414,4.5,"place utility knife on wooden surface, remove wooden pieces"
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,2,414,819,13.5,"pick up utility knife, trim wooden piece with utility knife"
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,3,819,1010,6.367,trim wooden piece with utility knife
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,4,1010,1118,3.6,"place utility knife on wooden surface, remove wooden pieces"
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,5,1118,1299,6.033,adjust wooden pieces
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,6,1299,1380,2.7,press wood piece
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,7,1380,1539,5.3,trim wooden piece with utility knife
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,8,1539,1611,2.4,remove wood shaving and pick up utility knife
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,9,1611,1749,4.6,"move utility knife and pick up wood shaving, place utility knife on wooden surface"
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,10,1749,1890,4.7,"hold wood shaving, move plastic container on wooden surface"
696da11064a75ad017733b41,train,arranging_wood_pieces,full/human/mecka/6b/696da11064a75ad017733b41.zarr,11,1890,2000,3.667,"pick up utility knife, trim wood shaving"
